Date;Open;High;Low;Close;Volume;Adj Close
01/05/2014;52.711.235;53.293.239;52.388.236;53.135.237;1905500;53.135.237
02/05/2014;53.376.243;5.340.024;52.561.239;52.793.241;1688500;52.793.241
05/05/2014;52.482.238;52.890.242;52.132.236;52.781.239;1024100;52.781.239
06/05/2014;52.523.238;5.268.124;51.506.234;51.514.233;1689000;51.514.233
07/05/2014;51.579.231;51.668.232;50.330.227;50.996.229;3224300;50.996.229
08/05/2014;5.084.623;51.723.229;5.064.523;51.100.231;2021300;51.100.231
09/05/2014;51.075.233;51.990.239;50.420.229;51.873.231;2439500;51.873.231
12/05/2014;52.351.239;53.019.239;51.901.238;52.992.237;1912500;52.992.237
13/05/2014;53.089.243;53.607.241;52.951.243;53.309.244;1653400;53.309.244
14/05/2014;53.300.241;53.300.241;52.529.236;52.665.241;1191800;52.665.241
15/05/2014;52.570.236;52.587.238;51.742.233;51.998.232;1704400;51.998.232
16/05/2014;52.139.238;52.180.238;51.544.235;52.063.236;1485300;52.063.236
19/05/2014;51.970.238;52.978.246;51.758.537;52.886.239;1277800;52.886.239
20/05/2014;52.974.237;5.362.324;52.630.239;52.977.242;1784800;52.977.242
21/05/2014;53.290.246;53.918.544;53.191.238;53.894.246;1196300;53.894.246
22/05/2014;54.113.243;54.760.245;54.078.247;54.506.246;1615800;54.506.246
23/05/2014;54.726.246;55.364.251;54.370.247;55.270.249;1932200;55.270.249
27/05/2014;5.560.025;56.600.258;55.435.246;56.595.257;2104200;56.595.257
28/05/2014;56.457.257;56.784.258;56.100.254;5.616.825;1652000;5.616.825
29/05/2014;56.335.255;56.400.252;55.871.257;56.008.253;1354100;56.008.253
30/05/2014;56.080.253;5.613.525;55.591.247;55.989.256;1771100;55.989.256
02/06/2014;56.070.258;56.090.259;54.573.245;55.393.249;1435000;55.393.249
03/06/2014;55.099.248;55.234.256;54.255.246;5.449.425;1866600;5.449.425
04/06/2014;54.150.246;54.861.248;53.875.243;54.466.244;1816500;54.466.244
05/06/2014;5.464.025;5.549.525;54.445.245;55.390.256;1689100;55.390.256
06/06/2014;55.806.253;55.806.253;54.893.245;55.633.256;1736800;55.633.256
09/06/2014;55.715.256;56.290.258;55.604.252;56.212.255;1467500;56.212.255
10/06/2014;56.051.255;5.636.025;55.790.254;56.055.251;1351700;56.055.251
11/06/2014;55.800.255;55.988.252;55.502.251;55.884.256;1100100;55.884.256
12/06/2014;55.730.251;55.799.251;54.846.253;55.135.248;1458500;55.135.248
13/06/2014;5.522.625;55.230.247;54.556.249;55.176.254;1220500;55.176.254
16/06/2014;54.926.252;54.962.245;54.152.248;54.428.249;1702600;54.428.249
17/06/2014;5.442.025;54.532.245;53.933.245;54.301.246;1444600;54.301.246
18/06/2014;54.486.245;55.356.252;54.400.248;55.337.248;1741800;55.337.248
19/06/2014;55.424.248;5.550.025;54.851.247;55.490.256;2456800;55.490.256
20/06/2014;55.685.248;55.758.251;55.039.453;55.636.249;4508300;55.636.249
23/06/2014;55.515.251;56.500.258;55.425.252;56.495.258;1536800;56.495.258
24/06/2014;56.519.256;57.264.861;56.101.257;56.462.257;2207100;56.462.257
25/06/2014;56.526.257;57.996.262;56.522.255;57.865.263;1969400;57.865.263
26/06/2014;58.100.264;58.245.266;57.185.254;5.760.026;1742000;5.760.026
27/06/2014;57.718.259;57.987.265;57.380.259;57.724.263;2236900;57.724.263
30/06/2014;5.786.626;57.957.263;57.475.259;57.528.261;1313800;57.528.261
01/07/2014;57.832.262;58.440.265;57.665.264;58.267.262;1448000;58.267.262
02/07/2014;58.335.259;58.544.267;58.039.263;58.233.766;1056400;58.233.766
03/07/2014;58.335.259;58.501.266;58.092.259;58.473.266;714200;58.473.266
07/07/2014;58.376.265;58.643.263;57.959.264;58.225.265;1064600;58.225.265
08/07/2014;57.766.261;57.953.065;56.613.759;57.109.259;1909500;57.109.259
09/07/2014;57.158.258;57.672.259;56.937.854;57.608.265;1116800;57.608.265
10/07/2014;56.591.255;57.659.266;56.501.256;57.110.256;1356700;57.110.256
11/07/2014;57.191.258;58.085.263;57.142.259;57.918.265;1621700;57.918.265
14/07/2014;58.260.261;58.521.267;57.803.264;58.487.263;1854100;58.487.263
15/07/2014;58.574.263;58.580.763;57.656.261;58.478.266;1623000;58.478.266
16/07/2014;58.800.267;58.840.269;58.220.265;58.266.259;1397100;58.266.259
17/07/2014;57.953.267;5.809.926;56.861.258;57.373.258;3016600;57.373.258
18/07/2014;59.300.271;59.680.268;58.200.263;5.950.827;4014200;5.950.827
21/07/2014;5.917.527;59.440.273;58.523.562;58.947.265;2062100;58.947.265
22/07/2014;59.072.266;59.965.272;59.060.264;59.474.265;1699200;59.474.265
23/07/2014;59.323.265;59.785.268;59.250.268;59.598.269;1233200;59.598.269
24/07/2014;59.645.273;59.950.272;59.177.272;59.335.267;1035100;59.335.267
25/07/2014;59.040.269;59.186.268;58.703.266;58.902.268;932500;58.902.268
28/07/2014;58.807.269;59.250.268;58.475.567;59.060.264;986800;59.060.264
29/07/2014;58.875.265;58.970.271;58.351.765;58.561.263;1349900;58.561.263
30/07/2014;58.655.265;5.895.027;58.400.263;58.742.265;1016500;58.742.265
31/07/2014;58.060.262;58.365.267;57.000.256;57.160.253;2102800;57.160.253
01/08/2014;57.040.258;57.596.263;56.285.252;56.607.259;1955300;56.607.259
04/08/2014;56.904.253;57.535.256;56.410.253;57.315.262;1427300;57.315.262
05/08/2014;57.005.256;5.719.826;56.261.254;5.650.726;1551200;5.650.726
06/08/2014;56.178.257;5.707.026;56.000.254;56.637.659;1334400;56.637.659
07/08/2014;56.800.257;56.989.258;56.110.248;56.336.252;1110900;56.336.252
08/08/2014;56.356.254;57.025.258;5.603.525;56.877.263;1494800;56.877.263
11/08/2014;56.999.259;57.049.255;56.600.258;56.788.255;1214700;56.788.255
12/08/2014;56.452.257;56.590.257;56.088.258;56.273.256;1542000;56.273.256
13/08/2014;56.731.257;5.750.026;56.575.256;57.478.264;1441800;57.478.264
14/08/2014;5.761.826;57.790.265;5.708.826;57.465.264;985500;57.465.264
15/08/2014;57.786.262;5.793.826;5.705.226;57.348.256;1519200;57.348.256
18/08/2014;57.611.258;58.451.263;5.760.026;58.216.262;1284100;58.216.262
19/08/2014;58.500.262;58.734.266;58.400.263;58.686.264;978700;58.686.264
20/08/2014;58.588.266;58.670.266;58.257.262;58.449.262;1036700;58.449.262
21/08/2014;58.382.263;58.450.266;58.114.267;58.337.266;914800;58.337.266
22/08/2014;58.359.269;58.523.868;58.064.264;58.256.264;789100;58.256.264
25/08/2014;58.472.262;58.500.262;57.900.265;58.020.265;1361400;58.020.265
26/08/2014;58.126.263;58.180.262;57.658.262;57.786.262;1639700;57.786.262
27/08/2014;57.727.262;57.849.258;57.010.563;57.100.256;1703400;57.100.256
28/08/2014;56.956.257;57.325.256;56.710.252;56.920.258;1292900;56.920.258
29/08/2014;57.133.263;57.204.258;56.707.155;57.160.253;1083800;57.160.253
02/09/2014;57.185.254;57.783.263;57.119.259;57.733.266;1578400;57.733.266
03/09/2014;58.000.264;58.299.265;5.750.026;57.794.261;1215100;57.794.261
04/09/2014;58.000.264;58.600.268;57.922.261;58.198.262;1458200;58.198.262
05/09/2014;58.398.261;58.655.265;58.195.263;58.608.267;1632400;58.608.267
08/09/2014;58.660.265;59.177.272;58.630.264;58.972.266;1431000;58.972.266
09/09/2014;58.890.272;58.900.267;58.000.264;58.101.261;1287200;58.101.261
10/09/2014;58.150.261;58.350.266;57.694.262;58.310.264;977400;58.310.264
11/09/2014;58.036.264;5.818.126;57.626.259;5.813.526;1221000;5.813.526
12/09/2014;58.100.264;58.164.264;57.446.261;57.562.259;1601700;57.562.259
15/09/2014;57.294.257;5.749.526;56.821.262;57.310.255;1597600;57.310.255
16/09/2014;57.276.257;58.150.261;57.266.257;57.995.264;1480400;57.995.264
17/09/2014;58.001.262;58.752.266;57.877.766;58.477.268;1692800;58.477.268
18/09/2014;58.700.268;58.954.266;58.500.262;58.927.269;1444600;58.927.269
19/09/2014;59.150.269;59.648.265;5.895.027;59.608.269;3736600;59.608.269
22/09/2014;59.382.271;59.395.166;58.346.269;58.737.265;1689500;58.737.265
23/09/2014;58.685.261;58.685.261;58.100.264;58.113.263;1471400;58.113.263
24/09/2014;58.146.264;58.963.269;58.052.262;58.799.263;1728100;58.799.263
25/09/2014;58.755.265;58.798.266;5.741.826;57.506.258;1926000;57.506.258
26/09/2014;57.606.264;5.792.526;57.466.256;5.771.026;1443700;5.771.026
29/09/2014;5.717.526;57.819.263;57.117.258;57.636.259;1282400;57.636.259
30/09/2014;57.693.258;57.985.263;57.285.254;57.736.259;1621700;57.736.259
01/10/2014;57.601.264;57.758.261;56.701.255;5.682.726;1445500;5.682.726
02/10/2014;56.731.257;57.191.258;56.332.256;57.008.261;1178400;57.008.261
03/10/2014;57.305.261;57.722.758;57.250.258;57.528.261;1141700;57.528.261
06/10/2014;57.880.257;58.100.264;57.444.259;57.735.261;1214600;57.735.261
