Date,Volume
05-jun-15,1375000
04-jun-15,1335600
03-jun-15,1714500
02-jun-15,1934700
01-jun-15,1899600
29-may-15,2584900
28-may-15,1027900
27-may-15,1520400
26-may-15,2403400
22-may-15,1173300
21-may-15,1461400
20-may-15,1429100
19-may-15,1963300
18-may-15,1998600
15-may-15,1962700
14-may-15,1399100
13-may-15,1252300
12-may-15,1634200
11-may-15,905300
08-may-15,1527600
07-may-15,1546300
06-may-15,1567000
05-may-15,1383100
04-may-15,1308000
01-may-15,1768200
30-Apr-2015,2082200
29-Apr-2015,1698800
28-Apr-2015,1491000
27-Apr-2015,2398000
24-Apr-2015,4932500
23-Apr-2015,4184900
22-Apr-2015,1593600
21-Apr-2015,1844800
20-Apr-2015,1679300
17-Apr-2015,2144100
16-Apr-2015,1299900
15-Apr-2015,2318800
14-Apr-2015,2604100
13-Apr-2015,1645300
10-Apr-2015,1409500
9-Apr-2015,1557900
8-Apr-2015,1178500
7-Apr-2015,1302900
6-Apr-2015,1324400
2-Apr-2015,1716400
1-Apr-2015,1963100
31-mar-15,1588000
30-mar-15,1287500
27-mar-15,1897500
26-mar-15,1572600
25-mar-15,2152300
24-mar-15,2583300
23-mar-15,1643800
20-mar-15,2616900
19-mar-15,1197300
18-mar-15,2134500
17-mar-15,1805500
16-mar-15,1641000
13-mar-15,1703600
12-mar-15,1389600
11-mar-15,1820800
10-mar-15,1792300
09-mar-15,1062100
06-mar-15,1659100
05-mar-15,1389600
04-mar-15,1876800
03-mar-15,1704800
02-mar-15,2129600
27-feb-15,2410200
26-feb-15,2311500
25-feb-15,1826000
24-feb-15,1005100
23-feb-15,1457900
20-feb-15,1444400
19-feb-15,989100
18-feb-15,1453100
17-feb-15,1616800
13-feb-15,1900300
12-feb-15,1620200
11-feb-15,1377800
10-feb-15,1749900
09-feb-15,1267800
06-feb-15,1749400
05-feb-15,1849800
04-feb-15,1663700
03-feb-15,2038700
02-feb-15,2849800
30-Jan-2015,5606400
