Date,Open,High,Low,Close,Volume,Adj.Close
2015-06-05,536.34998,537.20001,532.52002,533.33002,1375000,533.33002
2015-06-04,537.76001,540.59003,534.32001,536.70001,1335600,536.70001
2015-06-03,539.90997,543.50,537.10999,540.31,1714500,540.31
2015-06-02,532.92999,543.00,531.33002,539.17999,1934700,539.17999
2015-06-01,536.78998,536.78998,529.76001,533.98999,1899600,533.98999
2015-05-29,537.37,538.63,531.45001,532.10999,2584900,532.10999
2015-05-28,538.01001,540.60999,536.25,539.78003,1027900,539.78003
2015-05-27,532.79999,540.54999,531.71002,539.78998,1520400,539.78998
2015-05-26,538.12,539.00,529.88,532.32001,2403400,532.32001
2015-05-22,540.15002,544.19,539.51001,540.10999,1173300,540.10999
2015-05-21,537.95001,543.84003,535.97998,542.51001,1461400,542.51001
2015-05-20,538.48999,542.91998,532.97198,539.27002,1429100,539.27002
2015-05-19,533.97998,540.65997,533.03998,537.35999,1963300,537.35999
2015-05-18,532.01001,534.82001,528.84998,532.29999,1998600,532.29999
2015-05-15,539.17999,539.27399,530.38,533.84998,1962700,533.84998
2015-05-14,533.77002,539.00,532.40997,538.40002,1399100,538.40002
2015-05-13,530.56,534.32202,528.65503,529.62,1252300,529.62
2015-05-12,531.59998,533.20898,525.26001,529.03998,1634200,529.03998
2015-05-11,538.37,541.97998,535.40002,535.70001,905300,535.70001
2015-05-08,536.65002,541.15002,525.00,538.21997,1527600,538.21997
2015-05-07,523.98999,533.46002,521.75,530.70001,1546300,530.70001
2015-05-06,531.23999,532.38,521.08502,524.21997,1567000,524.21997
2015-05-05,538.21002,539.73999,530.39099,530.79999,1383100,530.79999
2015-05-04,538.53003,544.07001,535.06,540.78003,1308000,540.78003
2015-05-01,538.42999,539.53998,532.09998,537.90002,1768200,537.90002
2015-04-30,547.87,548.59003,535.04999,537.34003,2082200,537.34003
2015-04-29,550.46997,553.67999,546.90503,549.08002,1698800,549.08002
2015-04-28,554.64001,556.02002,550.36603,553.67999,1491000,553.67999
