StartDate,SleptAt,AwokeAt,Duration
22/04/2013,"April 23, 2013 at 12:40a.m.",23/04/2013 07:04:00,384
23/04/2013,"April 24, 2013 at 03:22a.m.",24/04/2013 09:19:00,357
24/04/2013,"April 25, 2013 at 12:11a.m.",25/04/2013 07:11:00,420
25/04/2013,"April 26, 2013 at 12:26a.m.",26/04/2013 07:14:00,408
26/04/2013,"April 27, 2013 at 12:03a.m.",27/04/2013 07:31:00,448
27/04/2013,"April 28, 2013 at 03:17a.m.",28/04/2013 11:55:00,518
28/04/2013,"April 29, 2013 at 01:28a.m.",29/04/2013 12:56:00,688
29/04/2013,"April 30, 2013 at 01:10a.m.",30/04/2013 07:20:00,370
30/04/2013,"April 30, 2013 at 09:50p.m.",01/05/2013 06:31:00,521
01/05/2013,"May 01, 2013 at 11:47p.m.",02/05/2013 09:37:00,590
02/05/2013,"May 02, 2013 at 11:17p.m.",03/05/2013 07:11:00,474
03/05/2013,"May 03, 2013 at 11:16p.m.",04/05/2013 07:05:00,469
04/05/2013,"May 04, 2013 at 11:53p.m.",05/05/2013 06:01:00,368
05/05/2013,"May 06, 2013 at 12:30a.m.",06/05/2013 12:45:00,735
06/05/2013,"May 07, 2013 at 01:55a.m.",07/05/2013 07:05:00,310
07/05/2013,"May 08, 2013 at 01:18a.m.",08/05/2013 07:08:00,350
08/05/2013,"May 09, 2013 at 12:51a.m.",09/05/2013 07:01:00,370
09/05/2013,"May 09, 2013 at 11:59p.m.",10/05/2013 06:50:00,411
10/05/2013,"May 11, 2013 at 12:06a.m.",11/05/2013 07:00:00,414
11/05/2013,"May 12, 2013 at 02:16a.m.",12/05/2013 09:40:00,444
12/05/2013,"May 12, 2013 at 11:42p.m.",13/05/2013 09:55:00,613
13/05/2013,"May 14, 2013 at 12:52a.m.",14/05/2013 07:26:00,394
14/05/2013,"May 14, 2013 at 11:32p.m.",15/05/2013 07:10:00,458
15/05/2013,"May 16, 2013 at 12:35a.m.",16/05/2013 07:15:00,400
16/05/2013,"May 16, 2013 at 11:10p.m.",17/05/2013 07:26:00,496
17/05/2013,"May 17, 2013 at 11:57p.m.",18/05/2013 06:55:00,418
18/05/2013,"May 18, 2013 at 09:45p.m.",19/05/2013 11:03:00,798
19/05/2013,"May 20, 2013 at 03:30a.m.",20/05/2013 11:43:00,493
20/05/2013,"May 21, 2013 at 12:10a.m.",21/05/2013 07:05:00,415
21/05/2013,"May 21, 2013 at 11:17p.m.",22/05/2013 07:15:00,478
22/05/2013,"May 23, 2013 at 12:42a.m.",23/05/2013 07:14:00,392
23/05/2013,"May 24, 2013 at 12:33a.m.",24/05/2013 07:05:00,392
24/05/2013,"May 25, 2013 at 12:18a.m.",25/05/2013 07:05:00,407
25/05/2013,"May 26, 2013 at 03:57a.m.",26/05/2013 14:43:00,646
26/05/2013,"May 27, 2013 at 02:37a.m.",27/05/2013 09:35:00,418
27/05/2013,"May 28, 2013 at 12:16a.m.",28/05/2013 07:52:00,456
28/05/2013,"May 29, 2013 at 12:26a.m.",29/05/2013 07:05:00,399
29/05/2013,"May 30, 2013 at 12:43a.m.",30/05/2013 07:05:00,382
