date,Low,High
20140501,523.88236,532.93239
20140502,525.61239,534.0024
20140505,521.32236,528.90242
20140506,515.06234,526.8124
20140507,503.30227,516.68232
20140508,506.4523,517.23229
20140509,504.20229,519.90239
20140512,519.01238,530.19239
20140513,529.51243,536.07241
20140514,525.29236,533.00241
20140515,517.42233,525.87238
20140516,515.44235,521.80238
20140519,517.58537,529.78246
20140520,526.30239,536.2324
20140521,531.91238,539.18544
20140522,540.78247,547.60245
20140523,543.70247,553.64251
20140527,554.35246,566.00258
20140528,561.00254,567.84258
20140529,558.71257,564.00252
20140530,555.91247,561.3525
20140602,545.73245,560.90259
20140603,542.55246,552.34256
20140604,538.75243,548.61248
20140605,544.45245,554.9525
20140606,548.93245,558.06253
20140609,556.04252,562.90258
20140610,557.90254,563.6025
20140611,555.02251,559.88252
20140612,548.46253,557.99251
20140613,545.56249,552.30247
20140616,541.52248,549.62245
20140617,539.33245,545.32245
20140618,544.00248,553.56252
20140619,548.51247,555.0025
20140620,550.39453,557.58251
20140623,554.25252,565.00258
20140624,561.01257,572.64861
20140625,565.22255,579.96262
20140626,571.85254,582.45266
20140627,573.80259,579.87265
20140630,574.75259,579.57263
20140701,576.65264,584.40265
20140702,580.39263,585.44267
20140703,580.92259,585.01266
20140707,579.59264,586.43263
20140708,566.13759,579.53065
20140709,569.37854,576.72259
20140710,565.01256,576.59266
20140711,571.42259,580.85263
20140714,578.03264,585.21267
20140715,576.56261,585.80763
20140716,582.20265,588.40269
20140717,568.61258,580.9926
20140718,582.00263,596.80268
20140721,585.23562,594.40273
20140722,590.60264,599.65272
20140723,592.50268,597.85268
20140724,591.77272,599.50272
20140725,587.03266,591.86268
20140728,584.75567,592.50268
20140729,583.51765,589.70271
20140730,584.00263,589.5027
20140731,570.00256,583.65267
20140801,562.85252,575.96263
20140804,564.10253,575.35256
20140805,562.61254,571.9826
20140806,560.00254,570.7026
20140807,561.10248,569.89258
20140808,560.3525,570.25258
20140811,566.00258,570.49255
20140812,560.88258,565.90257
20140813,565.75256,575.0026
20140814,570.8826,577.90265
20140815,570.5226,579.3826
20140818,576.0026,584.51263
20140819,584.00263,587.34266
20140820,582.57262,586.70266
20140821,581.14267,584.50266
20140822,580.64264,585.23868
20140825,579.00265,585.00262
20140826,576.58262,581.80262
20140827,570.10563,578.49258
20140828,567.10252,573.25256
20140829,567.07155,572.04258
20140902,571.19259,577.83263
20140903,575.0026,582.99265
20140904,579.22261,586.00268
20140905,581.95263,586.55265
20140908,586.30264,591.77272
20140909,580.00264,589.00267
20140910,576.94262,583.50266
20140911,576.26259,581.8126
20140912,574.46261,581.64264
20140915,568.21262,574.9526
20140916,572.66257,581.50261
20140917,578.77766,587.52266
20140918,585.00262,589.54266
20140919,589.5027,596.48265
20140922,583.46269,593.95166
20140923,581.00264,586.85261
20140924,580.52262,589.63269
20140925,574.1826,587.98266
20140926,574.66256,579.2526
20140929,571.17258,578.19263
20140930,572.85254,579.85263
20141001,567.01255,577.58261
20141002,563.32256,571.91258
20141003,572.50258,577.22758
20141006,574.44259,581.00264
20141007,563.74253,575.27263
20141008,557.49248,573.88259
20141009,559.06252,571.49255
20141010,544.05243,565.13258
20141013,533.10241,549.50249
20141014,533.17237,547.19251
20141015,518.30236,532.8024
20141016,515.00236,529.43237
20141017,508.53231,530.9824
20141020,508.1023,521.76235
20141021,519.11232,526.79238
20141022,528.80235,539.80243
20141023,535.85239,547.22244
20141024,535.79241,544.88246
20141027,537.03244,544.41242
20141028,541.62242,548.98245
20141029,546.98246,554.19254
20141030,543.51249,552.8025
20141031,554.75249,559.57253
20141103,553.23251,557.90254
20141104,549.30248,555.50253
20141105,544.05243,556.80248
20141106,540.97238,546.88747
20141107,538.67244,546.21252
20141110,541.02245,549.59252
20141111,546.30249,551.94247
20141112,545.17244,550.46252
20141113,543.48244,549.80245
20141114,542.1525,546.68244
20141117,534.06336,543.79244
20141118,534.17242,541.94245
20141119,530.08241,538.24242
20141120,531.08241,535.11238
20141121,536.5624,542.14246
20141124,535.62245,542.70247
20141125,538.60444,543.98241
20141126,537.04444,541.55241
20141128,536.60243,542.00243
20141201,531.86238,541.41243
20141202,529.80241,535.50243
20141203,529.26241,535.99842
20141204,528.59242,537.34243
20141205,524.28239,532.89243
20141208,523.79233,531.00242
20141209,520.50237,534.19244
20141210,525.56239,536.33246
20141211,527.10238,533.92241
20141212,518.6623,528.50239
20141215,513.27233,523.10233
20141216,489.00222,513.05231
20141217,496.81224,507.0023
20141218,504.70229,513.87231
20141219,506.91331,517.72234
20141222,516.08235,526.46238
20141223,526.29235,534.56241
20141224,527.02238,531.76139
20141226,527.31236,534.25242
20141229,530.01337,535.48241
20141230,527.13237,531.15242
20141231,525.80236,532.60238
20150102,524.10233,531.27244
20150105,513.06231,524.33239
20150106,501.05227,516.17733
20150107,499.65225,507.24629
20150108,491.00221,503.4823
20150109,494.79224,504.92228
20150112,487.56221,495.97826
20150113,492.39225,502.9823
20150114,493.00223,503.23229
20150115,497.76227,505.68227
20150116,500.00227,508.1923
20150120,506.01828,512.50231
20150121,506.20231,519.28241
20150122,519.70238,536.33246
20150123,533.00241,542.17245
20150126,529.67241,539.00244
20150127,518.19238,530.7024
20150128,510.00232,522.99235
20150129,501.20227,511.09231
20150130,515.52234,539.87244
20150202,518.55232,533.00241
20150203,523.26238,533.40243
20150204,521.27236,532.67442
20150205,522.09236,528.50239
20150206,526.41237,537.20246
20150209,526.02239,532.00241
20150210,526.92238,537.70243
20150211,533.3804,538.45247
20150212,534.67539,544.82248
20150213,543.13248,549.91249
20150217,541.09247,550.00246
20150218,537.51246,545.49247
20150219,538.01242,543.11247
20150220,535.80244,543.75247
20150223,529.41236,536.44147
20150224,528.25238,536.7924
20150225,535.44741,546.22244
20150226,541.50246,556.14253
20150227,552.9025,564.7126
20150302,558.75253,572.15262
20150303,566.52256,575.39265
20150304,568.01261,577.11258
20150305,573.41255,577.91262
20150306,566.7626,576.68262
20150309,563.5375,570.27259
20150310,554.73247,564.85251
20150311,550.68249,558.14252
20150312,550.46252,556.37253
20150313,544.22245,558.40257
20150316,546.00248,556.85248
20150317,548.00247,553.80249
20150318,547.00247,559.78258
20150319,556.14755,560.80253
20150320,559.05255,561.72253
20150323,555.83254,562.36253
20150324,561.21259,574.5926
20150325,558.74249,572.2626
20150326,550.6525,558.90254
20150327,548.13246,555.28257
20150330,548.17249,553.47249
20150331,546.72247,554.71252
20150401,539.50247,551.14249
20150402,533.8494,540.85243
20150406,529.57241,538.41239
20150407,536.00239,542.69243
20150408,538.38246,543.85241
20150409,535.49239,541.95249
20150410,537.31245,542.29241
20150413,537.31245,544.06246
20150414,528.09435,537.57244
20150415,523.22235,534.73243
20150416,529.61237,535.59246
20150417,521.01237,529.84243
20150420,524.50235,536.09242
20150421,533.67741,539.39243
20150422,531.7524,541.08249
20150423,540.23244,550.96249
20150424,557.25251,571.14259
20150427,553.20001,565.95001
20150428,550.36603,556.02002
20150429,546.90503,553.67999
20150430,535.04999,548.59003
