date,volume
01-10,1.523
02-10,1.7891
03-10,1.706
06-10,2.2237
07-10,1.562
08-10,1.3916
09-10,1.9627
10-10,1.7258
13-10,1.2892
14-10,1.3394
15-10,1.1294
16-10,0.9655
17-10,1.1346
20-10,1.6338
21-10,1.3333
22-10,2.0323
23-10,1.2442
24-10,1.3823
27-10,2.0351
28-10,1.4555
29-10,1.7705
30-10,1.271
31-10,1.1853
03-11,1.9731
04-11,2.3488
05-11,2.9193
06-11,2.3363
07-11,2.6075
10-11,5.5394
11-11,3.7086
12-11,3.7194
13-11,2.2226
14-11,2.5817
17-11,3.0819
18-11,2.5248
19-11,1.9909
20-11,1.9113
21-11,1.2146
24-11,1.1417
25-11,1.1784
26-11,1.4455
28-11,1.6217
01-12,1.2824
02-12,1.4437
03-12,1.926
04-12,1.7281
05-12,1.4714
08-12,1.6895
09-12,3.7366
10-12,1.4446
11-12,1.6928
12-12,1.4804
15-12,1.5976
16-12,1.6017
17-12,1.221
18-12,0.9774
19-12,1.2872
22-12,1.431
23-12,1.6324
24-12,1.4582
26-12,1.2151
29-12,1.5784
30-12,1.0838
31-12,1.2929
02-01,1.7034
05-01,1.6397
06-01,1.3614
07-01,0.7891
08-01,0.9148
09-01,1.0367
12-01,0.9787
13-01,1.2841
14-01,1.5192
15-01,0.9855
16-01,1.4418
20-01,1.542
21-01,1.2147
22-01,1.4948
23-01,1.1109
26-01,1.3344
27-01,1.5512
28-01,1.4273
29-01,1.9553
30-01,2.1028
