x,y
43.00008,4087.2
36,792.192
32.25,480.16
28.24992,428.16
30.12504,272.688
30.75,129.136
28.99992,80.416
28.99992,42.976
29.12496,77.952
32.25,194.784
32.25,75.616
31.99992,59.28
31.5,50.032
31.75008,48.816
33.25008,97.312
32.50008,61.168
32.50008,82.144
30.75,55.696
30.75,62.88
30.75,40.32
31.75008,58.752
31.5,27.472
31.00008,40.032
30.75,22
30.49992,33.904
30.49992,24.48
30.37488,42.576
29.12496,40.48
28.00008,25.632
29.50008,29.184
30,24.912
29.62512,22.24
28.75008,37.264
28.99992,30.384
28.75008,17.344
28.00008,11.424
28.00008,24.688
27.49992,11.664
28.75008,38.736
27.25008,34.576
26.87496,18.496
26.50008,42.432
26.74992,26.08
26.25,56.688
25.5,20.464
25.00008,32.496
22.24992,55.648
21.49992,40.336
21.75,29.584
22.75008,25.44
22.24992,6.336
22.24992,9.936
22.00008,14.88
22.00008,73.92
21,40.672
22.24992,22.864
22.24992,9.84
21.75,13.84
20.62512,7.488
19.99992,12.112
19.99992,21.12
18.75,58.992
17.25,35.104
18,16.96
18.49992,19.008
18.49992,37.264
19.24992,18.496
19.87488,16.08
19.87488,12.352
19.00008,11.328
18,18.816
16.37496,8.88
16.75008,12.832
16.62504,6
16.62504,3.712
17.50008,6.864
18,9.312
19.00008,13.888
19.24992,11.68
19.37496,5.104
19.24992,8.176
18.25008,9.712
18.49992,17.488
17.74992,18.336
17.50008,8.64
20.50008,104.64
20.62512,48.528
20.37504,11.776
19.87488,8.64
19.62504,4.288
19.62504,4.944
19.24992,6.88
19.99992,19.216
20.25,10.24
20.12496,3.888
20.37504,18.976
22.12512,51.936
21.12504,19.872
20.12496,9.136
19.37496,10.128
19.24992,5.28
18.62496,1.488
18.62496,7.536
18.87504,8.352
19.12512,9.072
19.00008,12.672
19.5,13.744
20.87496,31.936
21,13.824
21.62496,26.656
21.62496,19.776
21.49992,17.616
24,74.608
24.62496,53.328
23.87496,37.744
22.62504,20.4
22.12512,10.672
22.12512,6.88
21.75,8.496
21.25008,41.056
22.62504,58.272
23.50008,43.248
23.25,20.464
22.62504,7.152
22.62504,22.992
22.5,23.664
22.87488,86.736
20.87496,23.824
21.62496,64.528
21.75,38.848
21.62496,27.024
22.12512,35.04
22.24992,25.824
22.24992,22.32
22.12512,18.688
21.49992,14.928
21.12504,12.448
21,19.84
20.74992,5.584
20.74992,6.256
20.62512,9.696
20.25,16.464
19.75008,3.408
19.75008,9.952
19.24992,29.824
18.49992,16.56
18.37488,9.328
19.5,21.792
20.25,23.488
20.12496,7.12
19.75008,13.408
19.00008,16.816
18.62496,11.92
18.49992,17.296
18.12504,21.376
18.12504,10.224
17.74992,15.888
17.62512,11.248
19.24992,67.344
19.75008,34.192
19.00008,10.576
19.12512,8.032
19.12512,10.816
20.62512,91.2
20.37504,16.336
22.12512,81.904
21.75,55.968
21.37488,38.272
21.37488,25.216
19.87488,25.92
20.12496,28.512
20.25,13.536
20.25,18.864
18.75,17.328
19.37496,54.96
18.62496,20.496
18.12504,49.264
18.49992,36.192
18.12504,7.152
18.25008,15.136
18.75,18.064
18.25008,13.968
17.62512,39.232
17.50008,25.792
18.75,21.808
19.87488,66.4
20.50008,50.08
20.37504,29.248
19.75008,49.072
19.24992,25.776
22.12512,181.648
21.87504,53.76
25.99992,506.368
27,202.672
26.87496,243.888
31.24992,362.448
32.25,304.288
33.25008,298.096
35.25,280.288
34.99992,280.992
37.37496,415.584
36.62496,273.136
33.75,177.184
35.37504,214.08
35.12496,69.04
34.99992,160.432
36.25008,136.864
34.99992,74.272
34.12512,114.816
31.75008,187.872
30.37488,92.704
31.37496,126.912
36.25008,284.832
36.12504,175.104
35.74992,105.552
34.5,107.056
34.00008,95.536
33,72.592
32.12496,63.04
33,99.856
34.00008,137.344
32.37504,121.008
31.62504,49.44
30.87504,88.128
31.87488,107.76
30.12504,75.088
28.75008,120.912
27.25008,127.92
27.37488,62.176
27.25008,35.136
27.37488,70.192
26.74992,79.584
25.62504,135.408
25.37496,115.264
26.37504,249.312
24.12504,115.008
25.37496,211.648
29.50008,297.312
30.62496,270.48
30,147.808
30.12504,103.168
30,105.808
30,78.112
28.87488,56.4
29.50008,62.784
30,74.032
30.75,90.096
32.37504,175.392
34.24992,232.24
33.75,105.744
36,255.168
34.99992,347.68
34.5,210.496
34.37496,106.512
34.12512,142.08
32.37504,160.864
33.62496,103.152
33.37488,102.384
31.00008,128.8
28.12512,273.712
31.37496,135.312
31.37496,178.896
30.62496,64.528
32.87496,120.576
31.99992,208.368
34.62504,230.416
34.5,99.568
35.50008,133.008
37.00008,163.744
35.50008,192.784
34.75008,166.032
35.50008,79.696
34.87488,95.088
34.00008,95.248
32.74992,250.48
31.75008,144.064
31.12512,110.448
32.37504,123.232
32.3124,65.104
32.50008,68.464
34.12512,145.936
33.25008,58.656
31.99992,26.224
32.37504,28.368
33.37488,53.184
32.50008,52.896
33.49992,96.928
33.49992,32.592
33.25008,23.008
33,26.688
32.62512,20.032
33,61.456
34.00008,60.96
33.12504,56.016
32.50008,173.872
32.12496,57.712
33,33.072
35.25,159.216
35.12496,53.776
35.37504,80.272
35.25,54.576
39.37488,227.536
38.62512,178.416
37.87488,64.384
38.50008,67.2
36.75,51.184
36.87504,84.192
35.50008,141.712
35.25,40
34.5,58.912
34.5,44.16
37.75008,143.568
40.00008,173.376
45.12504,375.456
46.12512,440.352
45.12504,153.312
48.49992,249.808
50.74992,338.32
51.25008,114.496
49.12512,126.88
48.37488,120.592
49.99992,112
51.12504,118.224
50.74992,73.648
49.5,151.152
48.12504,92.32
49.00008,38.064
48.25008,45.232
55.00008,475.216
56.50008,337.68
55.99992,199.104
54.75,128.416
55.5,113.04
55.99992,70.336
56.12496,84.304
54.62496,134.016
54,185.28
54.25008,107.152
52.5,183.264
51,55.056
49.75008,90.048
52.5,181.008
55.99992,202.224
57.75,217.248
57.75,104.32
56.12496,124.896
57.25008,103.024
56.74992,60.16
56.37504,113.712
57.6876,246.96
59.87496,136.96
40.75008,106.192
41.87504,115.552
42.37504,92.944
45.75008,166.432
49.12496,211.648
50.37504,175.568
54,231.312
56.75008,339.024
58,228.624
53.75008,316.24
51.12496,375.632
51.87504,207.12
50.24992,123.6
52.62496,243.088
55.37504,177.584
55,148.96
53.12496,126.704
52,147.952
51.75008,102.224
51,66.496
50.62496,37.44
51.62496,144.752
55,226.768
56.24992,195.184
58.62496,153.392
58.12496,158.256
58,320.208
56.37504,339.6
55.5,188.448
53.24992,180.512
52.62496,141.728
51.75008,115.648
53.12496,211.696
49,248.496
49.24992,202.176
51.37504,133.856
53.37504,140.016
