date,high
20070103,26.26
20070104,26.92
20070105,27.87
20070108,28.04
20070109,28.05
20070110,28.92
20070111,29.37
20070112,29.5
20070116,29.88
20070117,29.4
20070118,28.99
20070119,28.34
20070122,27.9
20070123,27.54
20070124,29.2
20070125,29.05
20070126,28.52
20070129,28.21
20070130,28.39
20070131,28.48
20070201,28.71
20070202,28.92
20070205,28.8
20070206,29.56
20070207,30.15
20070208,30.24
20070209,30.16
20070212,29.77
20070213,29.68
20070214,30.86
20070215,31.65
20070216,32
20070220,32.21
20070221,31.77
20070222,32.08
20070223,32.18
20070226,32.84
20070227,31.64
20070228,31.47
20070301,31.23
20070302,30.89
20070305,31.9
20070306,31.06
20070307,31.03
20070308,31.04
20070309,30.15
20070312,30.11
20070313,30.24
20070314,30.04
20070315,30.07
20070316,30.11
20070319,30.19
20070320,30.35
20070321,31.39
20070322,31.44
20070323,31.7
20070326,31.74
20070327,31.66
20070328,31.7
20070329,31.73
20070330,31.6
20070402,31.4
20070403,32
20070404,31.87
20070405,32.09
20070409,32.24
20070410,32.02
20070411,31.73
20070412,31.42
20070413,31.5
20070416,31.79
20070417,32.14
20070418,28.9
20070419,28.23
20070420,27.86
20070423,28.14
20070424,28.26
20070425,28.27
20070426,28.65
20070427,28.86
20070430,28.5
20070501,28.35
20070502,28.26
20070503,28.5
20070504,33.61
20070507,30.98
20070508,31.1
20070509,30.44
20070510,30.69
20070511,30.08
20070514,30
20070515,29.42
20070516,29.37
20070517,29.13
20070518,29.8
20070521,29.86
20070522,29.35
20070523,29.37
20070524,28.88
20070525,28.73
20070529,28.73
20070530,28.38
20070531,28.85
20070601,29.13
20070604,28.78
20070605,28.59
20070606,28.11
20070607,27.73
20070608,27.45
20070611,27.52
20070612,27.66
20070613,27.41
20070614,27.64
20070615,27.52
20070618,28.34
20070619,29.4
20070620,28.17
20070621,27.94
20070622,27.79
20070625,27.77
20070626,28.18
20070627,27.66
20070628,27.49
20070629,27.38
20070702,27.27
20070703,27.25
20070705,27.14
20070706,27.14
20070709,27.33
20070710,27.57
20070711,27.05
20070712,26.97
20070713,26.97
20070716,26.74
20070717,27.8
20070718,26.72
20070719,26.34
20070720,25.89
20070723,25.46
20070724,25.34
20070725,25.32
20070726,24.49
20070727,24.49
20070730,23.88
20070731,23.93
20070801,23.4
20070802,23.7
20070803,23.39
20070806,23.15
20070807,23.7
20070808,23.87
20070809,24.45
20070810,24.22
20070813,24.74
20070814,24.7
20070815,24
20070816,23.15
20070817,23.63
20070820,23.74
20070821,23.48
20070822,23.52
20070823,23.36
20070824,23.73
20070827,23.76
20070828,23.1
20070829,22.69
20070830,22.91
20070831,22.83
20070904,24.5
20070905,24.4
20070906,24.32
20070907,24.05
20070910,23.85
20070911,23.84
20070912,23.94
20070913,23.96
20070914,25
20070917,25.1
20070918,25.21
20070919,25.37
20070920,25.61
20070921,26.21
20070924,26.4
20070925,26.65
20070926,27.07
20070927,26.95
20070928,26.89
20071001,27.1
20071002,27.24
