date,Low,High
20140501,42.26,43.31
20140502,43.09,44.05
20140505,43.94,44.57
20140506,44.25,45.10
20140507,43.69,44.71
20140508,43.58,44.06
20140509,43.67,44.85
20140512,44.45,45.18
20140513,44.41,44.91
20140514,44.25,45.44
20140515,45.53,46.13
20140516,45.23,45.83
20140519,44.79,45.64
20140520,44.72,45.59
20140521,45.00,45.79
20140522,45.16,46.17
20140523,43.80,45.19
20140527,43.56,44.22
20140528,43.61,44.03
20140529,43.68,44.36
20140530,43.95,44.60
20140602,44.42,45.20
20140603,44.82,45.42
20140604,45.01,45.67
20140605,43.68,44.67
20140606,44.13,44.93
20140609,44.28,44.78
20140610,44.71,45.54
20140611,44.91,45.58
20140612,44.81,45.45
20140613,43.43,44.71
20140616,43.46,44.16
20140617,42.75,43.88
20140618,42.44,42.98
20140619,42.58,43.36
20140620,42.36,42.99
20140623,42.18,42.92
20140624,42.67,43.93
20140625,43.40,44.24
20140626,43.50,44.31
20140627,41.97,44.38
20140630,42.42,43.95
20140701,43.70,44.43
20140702,44.05,44.57
20140703,44.26,44.76
20140707,43.21,44.72
20140708,42.91,43.52
20140709,43.42,43.99
20140710,43.76,44.36
20140711,43.50,44.42
20140714,43.30,43.82
20140715,43.35,44.54
20140716,44.00,44.59
20140717,42.86,44.16
20140718,42.76,43.26
20140721,42.66,43.18
20140722,42.54,43.15
20140723,42.67,43.66
20140724,43.03,44.26
20140725,43.88,44.98
20140728,44.38,45.25
20140729,43.88,44.76
20140730,43.51,44.85
20140731,41.80,43.80
20140801,46.30,50.32
20140804,47.66,49.28
20140805,49.07,49.79
20140806,48.63,49.23
20140807,48.01,49.08
20140808,47.32,48.38
20140811,46.77,47.89
20140812,45.85,46.59
20140813,46.20,47.75
20140814,47.07,48.09
20140815,47.40,49.48
20140818,48.56,49.93
20140819,49.62,50.41
20140820,48.72,50.23
20140821,48.51,49.64
20140822,48.33,49.88
20140825,48.91,49.88
20140826,49.47,50.78
20140827,50.46,51.68
20140828,50.35,51.27
20140829,50.51,51.01
20140902,50.61,51.06
20140903,50.19,50.92
20140904,49.93,51.46
20140905,50.95,51.60
20140908,50.83,51.47
20140909,50.44,51.15
20140910,48.90,50.25
20140911,48.81,50.08
20140912,49.50,50.92
20140915,49.48,51.17
20140916,49.43,50.58
20140917,49.19,50.69
20140918,48.29,50.53
20140919,49.22,50.90
20140922,50.51,51.25
20140923,49.90,50.67
20140924,50.20,50.97
20140925,50.01,51.12
20140926,49.66,51.43
20140929,51.64,52.00
20140930,51.52,52.26
20141001,51.60,52.19
20141002,51.07,51.83
20141003,50.99,52.25
20141006,50.27,52.23
20141007,50.00,51.37
20141008,51.34,52.62
20141009,50.94,52.42
20141010,50.47,51.95
20141013,49.95,51.17
20141014,49.22,50.63
20141015,48.10,49.18
20141016,48.79,49.63
20141017,47.86,48.67
20141020,46.60,47.98
20141021,47.32,48.28
20141022,45.74,47.13
20141023,45.94,46.72
