date,volume
02-09,19.8033
03-09,16.0929
04-09,14.7633
05-09,26.2004
08-09,75.5202
09-09,52.683
10-09,30.7418
11-09,25.203
12-09,69.7455
15-09,72.4099
16-09,61.4907
17-09,39.4955
18-09,93.7021
19-09,233.8721
22-09,109.2171
23-09,66.1053
24-09,49.0141
25-09,35.9165
26-09,62.1892
29-09,35.8833
30-09,30.3865
01-10,35.1729
02-10,24.5844
03-10,38.1917
06-10,23.5761
07-10,22.5383
08-10,26.5935
09-10,33.5196
10-10,36.7715
13-10,38.8419
14-10,38.509
15-10,41.9735
16-10,26.9985
17-10,24.107
20-10,17.8024
21-10,41.9552
22-10,69.3489
23-10,30.6534
24-10,33.8058
27-10,36.5965
28-10,36.8349
29-10,25.3891
30-10,16.2055
31-10,18.4468
03-11,17.1815
04-11,25.0515
05-11,33.0215
06-11,22.636
07-11,24.1667
10-11,24.7303
11-11,31.5863
12-11,30.5647
13-11,35.5134
14-11,28.8247
17-11,38.3928
18-11,26.8473
19-11,29.26
20-11,28.916
21-11,22.2253
24-11,14.6435
25-11,14.2196
26-11,13.4285
28-11,8.9137
01-12,23.1469
02-12,16.0999
03-12,14.236
04-12,12.1367
05-12,15.4181
08-12,18.1901
09-12,19.6556
10-12,16.1841
11-12,21.1002
12-12,20.3705
15-12,18.1325
16-12,21.3993
17-12,17.1123
18-12,15.3389
19-12,24.1102
22-12,24.0211
23-12,15.514
24-12,5.9619
26-12,5.1697
29-12,6.6245
30-12,10.7035
31-12,9.305
